l_dist_mm,r_dist_mm,timestamp
-8178,-9576,116.690
-8178,-9576,116.768
-8178,-9576,116.848
-8178,-9576,116.927
-8178,-9576,117.006
-8178,-9576,117.085
-8178,-9576,117.164
-8178,-9576,117.244
-8178,-9576,117.338
-8178,-9576,117.439
-8178,-9576,117.539
-8178,-9576,117.639
-8178,-9576,117.740
-8178,-9576,117.840
-8178,-9576,117.941
-8178,-9576,118.041
-8178,-9576,118.142
-8178,-9576,118.242
-8178,-9576,118.343
-8178,-9576,118.443
-8178,-9576,118.544
-8178,-9576,118.644
-8178,-9576,118.744
-8178,-9576,118.845
-8178,-9576,118.945
-8178,-9576,119.046
-8178,-9576,119.146
-8178,-9576,119.246
-8178,-9576,119.347
-8178,-9576,119.448
-8178,-9576,119.548
-8178,-9576,119.649
-8178,-9576,119.749
-8178,-9576,119.849
-8178,-9576,119.950
-8178,-9576,120.050
-8178,-9576,120.151
-8178,-9576,120.251
-8178,-9576,120.351
-8178,-9576,120.452
-8178,-9576,120.553
-8178,-9576,120.653
-8178,-9576,120.754
-8178,-9576,120.854
-8178,-9576,120.954
-8178,-9576,121.055
-8178,-9576,121.155
-8178,-9576,121.256
-8178,-9576,121.356
-8178,-9576,121.456
-8178,-9576,121.557
-8178,-9576,121.658
-8178,-9576,121.758
-8178,-9576,121.859
-8178,-9576,121.959
-8178,-9576,122.059
-8178,-9576,122.160
-8178,-9576,122.260
-8178,-9576,122.361
-8178,-9576,122.461
-8178,-9576,122.562
-8178,-9576,122.662
-8178,-9576,122.763
-8178,-9576,122.863
-8178,-9576,122.964
-8178,-9576,123.064
-8178,-9576,123.165
-8178,-9576,123.265
-8178,-9576,123.365
-8178,-9576,123.466
-8178,-9576,123.567
-8178,-9576,123.667
-8178,-9576,123.767
-8178,-9576,123.868
-8178,-9576,123.968
-8178,-9576,124.069
-8178,-9576,124.169
-8178,-9576,124.270
-8178,-9576,124.370
-8178,-9576,124.470
-8178,-9576,124.571
-8178,-9576,124.672
-8178,-9576,124.772
-8178,-9576,124.873
-8178,-9576,124.973
-8178,-9576,125.073
-8178,-9576,125.174
-8178,-9576,125.274
-8178,-9576,125.375
-8178,-9576,125.475
-8178,-9576,125.575
-8178,-9576,125.676
-8178,-9576,125.777
-8178,-9576,125.877
