compx,compy,compz,accelx,accely,accelz,gyrox,gyroy,gyroz,temp,baro,timestamp
0.4328,0.0640,0.2221,-0.054,0.192,-9.712,0.001492,-0.002354,0.002099,32.7,83.996,1559177155.433410168
0.4361,0.0606,0.2232,-0.061,0.171,-9.693,0.001290,-0.001666,0.001901,32.7,83.983,1559177155.434390306
0.4307,0.0618,0.2208,-0.042,0.170,-9.720,0.001343,-0.001346,0.001419,32.7,83.996,1559177155.435410261
0.4318,0.0606,0.2221,-0.051,0.170,-9.669,0.000693,-0.001021,0.001444,32.7,83.983,1559177155.522145271
0.4296,0.0640,0.2222,-0.036,0.147,-9.683,0.001395,-0.001272,0.002427,32.7,83.983,1559177155.523144960
0.4339,0.0606,0.2247,-0.046,0.182,-9.681,0.002263,-0.001169,0.002114,32.7,83.983,1559177155.524128914
0.4339,0.0629,0.2220,-0.048,0.158,-9.662,0.001186,-0.000509,0.001444,32.7,83.983,1559177155.525103807
0.4329,0.0617,0.2221,-0.044,0.155,-9.655,0.000600,-0.001348,0.000725,32.7,83.996,1559177155.526117325
0.4307,0.0629,0.2235,-0.038,0.197,-9.663,0.001648,-0.001514,0.001605,32.7,83.996,1559177155.611887693
0.4339,0.0629,0.2220,-0.062,0.160,-9.724,0.001073,-0.000912,0.001273,32.7,83.979,1559177155.612887383
0.4361,0.0594,0.2191,-0.044,0.170,-9.666,0.000993,-0.001553,0.001974,32.7,83.983,1559177155.613871336
0.4328,0.0640,0.2234,-0.043,0.164,-9.686,0.000436,-0.000560,0.001311,32.7,83.996,1559177155.614842176
0.4329,0.0617,0.2234,-0.038,0.155,-9.711,0.000412,-0.002542,0.002253,32.7,83.986,1559177155.702896357
0.4318,0.0572,0.2221,-0.042,0.166,-9.676,0.000822,0.000004,0.001971,32.7,83.983,1559177155.703895330
0.4329,0.0606,0.2220,-0.057,0.159,-9.666,0.000975,-0.001120,0.002492,32.7,83.970,1559177155.704877853
0.4307,0.0583,0.2208,-0.073,0.164,-9.666,0.001285,-0.000881,0.001498,32.7,83.996,1559177155.705907822
